GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
binary_tree,york.eecs.bt,BinaryTree,193,55,28,2,45,19,21,7,6,7
binary_tree,york.eecs.bt,Node,30,0,0,0,14,0,8,0,8,0
